,Shares,Volume,Sector,Price
APP,3245,1410453,Technology,163.62
JWN,21589,222710,Consumer Discretionary,23.23
PATH,38508,3786547,Technology,12.0415
PLTK,59855,56984,Technology,7.775
PLTR,10314,14703373,Technology,43.364
CASY,1110,17125,Consumer Discretionary,389.64
CVNA,2193,848306,Consumer Discretionary,198.115
EXEL,14903,168988,Health Care,28.61
WMT,5095,2874827,Consumer Discretionary,82.485
USFD,6560,152113,Consumer Discretionary,61.68
COST,455,976992,Consumer Discretionary,900.5034
PENN,20944,468512,Consumer Discretionary,19.01
PRGO,15206,158769,Health Care,25.35
VSCO,12419,330053,Consumer Discretionary,29.035
BSX,4065,6269885,Health Care,83.94
DOCS,8279,180461,Technology,41.89
ANET,869,217735,Telecommunications,398.66
NEM,5860,2643486,Basic Materials,58.07
TMUS,1474,951378,Telecommunications,220.025
LLY,347,369705,Health Care,904.09
DECK,1932,320937,Consumer Discretionary,152.741
DBX,11313,416573,Technology,26.155
DOCU,4075,653303,Technology,70.26
SPOT,743,336928,Consumer Discretionary,387.495
R,1966,73671,Consumer Discretionary,145.675
BKNG,65,29840,Consumer Discretionary,4350.53
LIN,576,274568,Industrials,480.1075
DVA,1637,71035,Health Care,163.4
ZBRA,717,29622,Industrials,371.57
WSM,1817,198424,Consumer Discretionary,140.0
THC,1606,168679,Health Care,159.72
KEX,2064,23440,Consumer Discretionary,121.56
GDDY,1520,114129,Technology,163.72
CAVA,1806,520413,Consumer Discretionary,137.51
MSI,520,69553,Technology,470.9
RCL,1200,589235,Consumer Discretionary,201.8801
MUSA,513,7764,Consumer Discretionary,474.88
REGN,253,192894,Health Care,938.13
GPK,8106,841542,Consumer Discretionary,29.88
ATI,3788,135113,Industrials,63.855
TSCO,817,121883,Consumer Discretionary,290.63
META,398,3529302,Technology,579.655
KMI,9250,1775884,Utilities,24.695
RPM,1716,35526,Consumer Discretionary,130.54
MANH,755,425998,Technology,269.94
UBER,2737,2085384,Consumer Discretionary,80.04
NTAP,1825,266059,Technology,120.72
PKG,996,279359,Consumer Discretionary,229.72
ECL,833,192139,Consumer Discretionary,258.32
DKS,1029,138798,Consumer Discretionary,207.48
T,9909,14911091,Telecommunications,22.055
UHS,915,116009,Health Care,234.57
TJX,1793,492694,Consumer Discretionary,115.02
FTI,8052,957499,Industrials,25.425
EHC,2151,57874,Health Care,96.01
GEN,7504,251401,Technology,26.935
HCA,495,223674,Health Care,409.075
AM,13501,519119,Utilities,14.825
APPF,997,40632,Technology,197.525
COR,832,125885,Health Care,233.365
TXRH,1076,105417,Consumer Discretionary,180.21
AMCR,17482,969985,Consumer Discretionary,11.055
HLT,803,841751,Consumer Discretionary,233.695
NOW,207,264702,Technology,910.86
IT,356,28619,Consumer Discretionary,524.05
GWRE,991,47517,Technology,186.65
FICO,91,56474,Consumer Discretionary,2011.045
DASH,1197,482367,Consumer Discretionary,152.595
TRGP,1102,284217,Utilities,166.235
NFLX,236,833050,Consumer Discretionary,757.92
IBM,776,956133,Technology,232.65
GLW,3805,1455644,Industrials,47.325
PEGA,2534,133437,Technology,69.73
WMB,3404,1016828,Utilities,52.31
ROST,1200,243835,Consumer Discretionary,145.61
TYL,298,42797,Technology,586.585
OKE,1793,257180,Utilities,97.08
ISRG,335,258905,Health Care,511.7
DTM,1988,84635,Utilities,87.03
EXP,595,38883,Industrials,288.58
RGLD,1084,48791,Industrials,153.195
LOW,616,401376,Consumer Discretionary,270.845
FFIV,768,45137,Telecommunications,216.22
ATR,1004,30449,Industrials,167.37
SO,1784,679306,Utilities,93.5
EBAY,2610,1020580,Consumer Discretionary,63.94
VNOM,3106,74400,Energy,52.12
UTHR,434,156720,Health Care,353.94
WING,437,70867,Consumer Discretionary,370.66
CRH,1738,720533,Industrials,91.495
AAPL,672,7769487,Technology,234.22
LPX,1584,61418,Basic Materials,99.77
ILMN,1095,229882,Health Care,143.95
PANW,417,845396,Technology,364.9377
CAH,1376,157876,Health Care,111.92
HRB,2540,97524,Consumer Discretionary,60.74
IFF,1468,92108,Industrials,103.895
ALNY,514,97953,Health Care,296.7075
SHW,421,339888,Consumer Discretionary,364.61
GMED,2060,114512,Health Care,73.23
VST,1206,1903472,Utilities,127.3
RMD,623,175230,Health Care,235.91
BURL,581,76333,Consumer Discretionary,255.68
BMY,2788,934317,Health Care,52.78
CI,461,294366,Health Care,316.345
WLK,1058,66260,Industrials,136.31
JAZZ,1279,58463,Health Care,110.95
CEG,543,920752,Utilities,265.39
BFAM,1100,43456,Consumer Discretionary,131.21
SYK,392,166696,Health Care,362.195
NI,4102,350091,Utilities,34.96
SMAR,2542,416096,Technology,55.8
AMGN,442,260803,Health Care,316.06
OMC,1383,192753,Consumer Discretionary,101.2
IQV,608,139045,Health Care,227.185
ABBV,734,827983,Health Care,188.17
NTRA,1144,180705,Health Care,120.125
RARE,2504,91057,Health Care,55.325
DELL,1133,1586887,Technology,121.17
NRG,1543,562870,Utilities,87.79
VZ,3145,5036409,Telecommunications,41.905
AVTR,5395,594438,Industrials,23.53
RBLX,3090,1970688,Technology,41.82
,1871,72539,Technology,0.5777
ACHC,-4290,181742,Health Care,51.175
ALGN,-1311,378236,Health Care,206.62
MTN,-1727,61145,Consumer Discretionary,170.32
DG,-3711,571055,Consumer Discretionary,80.59
XPO,-2815,674469,Consumer Discretionary,109.135
MSFT,-754,6277062,Technology,428.93
AMZN,-1708,6715287,Consumer Discretionary,187.39
WFRD,-3882,480699,Industrials,83.44
WDAY,-1342,368097,Technology,245.23
WST,-1158,132418,Health Care,286.72
CABO,-953,5103,Telecommunications,345.41
SLB,-7979,3016914,Energy,41.82
MTDR,-6713,825939,Energy,50.35
SNOW,-2944,647559,Technology,114.895
LITE,-5116,303549,Telecommunications,66.665
CIVI,-6819,266565,Energy,50.09
ALB,-3714,492800,Industrials,94.845
IDXX,-782,140795,Health Care,456.97
CHRD,-2809,66856,Energy,128.5
AAP,-9605,544535,Consumer Discretionary,37.59
CDNS,-1562,332916,Technology,249.8
CAR,-4966,62524,Consumer Discretionary,78.5
SNPS,-803,132615,Technology,499.42
FIVN,-14039,172601,Technology,29.83
GO,-25367,130840,Consumer Staples,16.705
LAD,-1394,217975,Consumer Discretionary,331.06
DXCM,-5810,1026897,Health Care,72.36
MLM,-796,28169,Industrials,559.87
SMCI,-9760,9144111,Technology,45.76
LYFT,-32780,2280399,Consumer Discretionary,13.555
SHC,-29888,166609,Health Care,15.62
APA,-19341,586971,Energy,24.7
DV,-29507,335621,Technology,16.285
S,-19226,1192356,Technology,25.15
PR,-37754,1921815,Energy,13.794
NCLH,-24492,1484452,Consumer Discretionary,23.56
